datatype,kind,id,latitude,longitude,city,type,status,country
physicalStore,Zara,12319,22.501734,88.361626,KOLKATA,Mall,OPEN,India
physicalStore,Zara,3466,-6.19369124,106.8221943,JAKARTA PUSAT,Mall,OPEN,Indonesia
physicalStore,Zara,3732,-6.1956806,106.822,JAKARTA PUSAT,Mall,OPEN,Indonesia
physicalStore,Zara,9141,-6.176196,106.79164,JAKARTA PUSAT,Mall,OPEN,Indonesia
physicalStore,Zara,1389,-6.22303609,106.8426308,JAKARTA,Mall,OPEN,Indonesia
physicalStore,Zara,3923,-6.22525608,106.7994032,JAKARTA PUSAT,Mall,OPEN,Indonesia
physicalStore,Zara,12586,-6.22659148,106.7977766,JAKARTA PUSAT,Mall,OPEN,Indonesia
physicalStore,Zara,3586,-6.16038205,106.907127,JAKARTA TIMUR,Mall,OPEN,Indonesia
physicalStore,Zara,3333,-6.1875683,106.7396081,JAKARTA BARAT,Mall,OPEN,Indonesia
physicalStore,Zara,3467,-6.26606344,106.7827557,JAKARTA SELATAN,Mall,OPEN,Indonesia
physicalStore,Zara,9029,30.072693,31.346285,CAIRO,Mall,OPEN,Egypt
physicalStore,Zara,13614,30.080805,31.364922,CAIRO,Mall,OPEN,Egypt
physicalStore,Zara,6309,30.029015,31.408549999999998,CAIRO,Mall,OPEN,Egypt
physicalStore,Zara,11720,29.972464000000002,31.016699,CAIRO,Mall,OPEN,Egypt
physicalStore,Zara,9203,30.008184,30.975029,CAIRO,Mall,OPEN,Egypt
physicalStore,Zara,7008,-34.60023523,-58.37537696,BUENOS AIRES,Street,OPEN,Argentina
physicalStore,Zara,7046,-34.5878185,-58.38326586,BUENOS AIRES,Mall,OPEN,Argentina
physicalStore,Zara,7004,-34.59558998,-58.39518929,BUENOS AIRES,Street,OPEN,Argentina
physicalStore,Zara,7005,-34.60371506,-58.4105305,BUENOS AIRES,Mall,OPEN,Argentina
physicalStore,Zara,7002,-34.58811683,-58.41064539,BUENOS AIRES,Mall,OPEN,Argentina
physicalStore,Zara,7036,-34.57483613,-58.40403003,BUENOS AIRES,Mall,OPEN,Argentina
physicalStore,Zara,7000,-34.67757781,-58.36806292,AVELLANEDA,Mall,OPEN,Argentina
physicalStore,Zara,7047,-34.54514822,-58.48787,BUENOS AIRES,Mall,OPEN,Argentina
physicalStore,Zara,7003,-34.50718048,-58.52520756,MARTINEZ,Mall,OPEN,Argentina
physicalStore,Zara,9185,19.08659,72.888904,MUMBAI,Mall,OPEN,India
physicalStore,Zara,11724,19.174005,72.861132,MUMBAI,Mall,OPEN,India
physicalStore,Zara,9072,18.993949999999998,72.82482,MUMBAI,Mall,OPEN,India
physicalStore,Zara,9216,19.185306,72.834088,MUMBAI,Mall,OPEN,India
physicalStore,Zara,11600,18.941497,72.833842,MUMBAI,Street,OPEN,India
physicalStore,Zara,1480,19.208959,72.971228,THANE,Mall,OPEN,India
physicalStore,Zara,9076,28.528263000000003,77.21839,NEW DELHI,Mall,OPEN,India
physicalStore,Zara,1242,28.567581,77.32123,NOIDA,Mall,OPEN,India
physicalStore,Zara,9093,28.542748,77.15561,NEW DELHI,Mall,OPEN,India
